"film_name			",critic_name,review_date,review_sentiment
Predator: Badlands,Jason Shawhan,5-Dec,Positive
Predator: Badlands,Stephen A. Russell,27-Nov,Positive
Predator: Badlands,Rob Dean,26-Nov,Positive
Predator: Badlands,Mel Valentin,25-Nov,Positive
Predator: Badlands,Kyle Logan,23-Nov,Positive
Predator: Badlands,Grant Watson,21-Nov,Negative
Predator: Badlands,Robert Roten,21-Nov,Positive
Predator: Badlands,Adam Hlavac,21-Nov,Positive
Predator: Badlands,Kiko Martinez,20-Nov,Positive
Predator: Badlands,Joe Lipsett,20-Nov,Positive
Predator: Badlands,Leah Schnelbach,19-Nov,Positive
Predator: Badlands,Nicolás Delgadillo,19-Nov,Positive
Predator: Badlands,Carson Timar,18-Nov,Negative
Predator: Badlands,Jon Winkler,18-Nov,Positive
Predator: Badlands,Ian Bunting,18-Nov,Positive
Predator: Badlands,Rachael Harper,18-Nov,Positive
Predator: Badlands,Trace Thurman,18-Nov,Positive
Predator: Badlands,Bob Grimm,18-Nov,Positive
Predator: Badlands,Ruben Peralta Rigaud,17-Nov,Positive
Predator: Badlands,Eileen Jones,17-Nov,Positive
Predator: Badlands,Candice McMillan,17-Nov,Positive
Predator: Badlands,Sarah Vincent,16-Nov,Positive
Predator: Badlands,Harris Dang,16-Nov,Positive
Predator: Badlands,Sharai Bohannon,15-Nov,Negative
Predator: Badlands,Peter Travers,14-Nov,Positive
Predator: Badlands,Rebecca Onion,14-Nov,Positive
Predator: Badlands,Tony Baker,14-Nov,Positive
Predator: Badlands,Victoria Luxford,14-Nov,Positive
Predator: Badlands,Stephen Porzio,14-Nov,Positive
Predator: Badlands,Nelson Acosta,13-Nov,Positive
Predator: Badlands,Walter Chaw,13-Nov,Positive
Predator: Badlands,Joshua Rothkopf,13-Nov,Positive
Predator: Badlands,Ian Thomas Malone,13-Nov,Positive
Predator: Badlands,Ben Morganti,13-Nov,Positive
Predator: Badlands,KT Mahe,12-Nov,Positive
Predator: Badlands,Oti,12-Nov,Positive
Predator: Badlands,Surya Komal,12-Nov,Positive
Predator: Badlands,Christopher Lloyd,12-Nov,Positive
Predator: Badlands,Erik Childress,12-Nov,Negative
Predator: Badlands,Charles Koplinski,11-Nov,Positive
Predator: Badlands,Daniel Rester,11-Nov,Positive
Predator: Badlands,Brian Lowry,11-Nov,Positive
Predator: Badlands,Scott Mendelson,11-Nov,Positive
Predator: Badlands,Jeff Ewing,11-Nov,Positive
Predator: Badlands,Chris Sawin,11-Nov,Positive
Predator: Badlands,Sara Michelle Fetters,10-Nov,Positive
Predator: Badlands,Lael Loewenstein,10-Nov,Positive
Predator: Badlands,Christy Lemire,10-Nov,Positive
Predator: Badlands,Abhimanyu Mathur,10-Nov,Negative
Predator: Badlands,Kevin Maher,10-Nov,Negative
Predator: Badlands,Maxance Vincent,10-Nov,Negative
Predator: Badlands,Wendy Ide,10-Nov,Positive
Predator: Badlands,Kristian M. Lin,10-Nov,Positive
Predator: Badlands,Tom Meek,10-Nov,Positive
Predator: Badlands,John Lui,10-Nov,Positive
Predator: Badlands,Glen Weldon,10-Nov,Positive
Predator: Badlands,Chris Klimek,10-Nov,Positive
Predator: Badlands,Ronald Young Jr.,10-Nov,Positive
Predator: Badlands,Joel Harley,10-Nov,Positive
Predator: Badlands,Emmanuel Noisette,9-Nov,Positive
Predator: Badlands,Jeffrey Harris,9-Nov,Positive
Predator: Badlands,Travis Johnson,9-Nov,Positive
Predator: Badlands,Lupe Rodriguez Haas,9-Nov,Positive
Predator: Badlands,Adam Olinger,9-Nov,Positive
Predator: Badlands,Aglaia Berlutti,9-Nov,Positive
Predator: Badlands,Derrick Murray,9-Nov,Positive
Predator: Badlands,Korey Coleman,8-Nov,Positive
Predator: Badlands,James Marsh,8-Nov,Negative
Predator: Badlands,Frank Swietek,8-Nov,Negative
Predator: Badlands,Rebecca Johnson,8-Nov,Positive
Predator: Badlands,MontiLee Stormer,8-Nov,Positive
Predator: Badlands,Stephen Silver,8-Nov,Positive
Predator: Badlands,Rachel Wagner,8-Nov,Positive
Predator: Badlands,Joshua Mbonu,8-Nov,Positive
Predator: Badlands,John Urbancich,8-Nov,Positive
Predator: Badlands,Keith Garlington,8-Nov,Positive
Predator: Badlands,Sean Burns,8-Nov,Negative
Predator: Badlands,Jack Martin,8-Nov,Positive
Predator: Badlands,Sean Chandler,7-Nov,Positive
Predator: Badlands,M.V. Moorhead,7-Nov,Positive
Predator: Badlands,Mike McGranaghan,7-Nov,Positive
Predator: Badlands,Ganesh Aaglave,7-Nov,Negative
Predator: Badlands,Justine Smith,7-Nov,Negative
Predator: Badlands,Shalini Langer,7-Nov,Negative
Predator: Badlands,Abhishek Srivastava,7-Nov,Positive
Predator: Badlands,Adam Graham,7-Nov,Positive
Predator: Badlands,Dana Han-Klein,7-Nov,Positive
Predator: Badlands,Dustin Rowles,7-Nov,Positive
Predator: Badlands,Alex Billington,7-Nov,Positive
Predator: Badlands,Dulcie Pearce,7-Nov,Positive
Predator: Badlands,Ayaan Paul Chowdhury,7-Nov,Positive
Predator: Badlands,DarkSkyLady,7-Nov,Positive
Predator: Badlands,Brian Viner,7-Nov,Negative
Predator: Badlands,Mark Kermode,7-Nov,Negative
Predator: Badlands,Nicholas Bell,7-Nov,Positive
Predator: Badlands,Rick Bentley,7-Nov,Positive
Predator: Badlands,Cris Kennedy,7-Nov,Positive
Predator: Badlands,Ryan Syrek,7-Nov,Positive
Predator: Badlands,Cody Leach,7-Nov,Positive
Predator: Badlands,Patrick McDonald,7-Nov,Positive
Predator: Badlands,Shawn Edwards,7-Nov,Positive
Predator: Badlands,Bilge Ebiri,7-Nov,Positive
Predator: Badlands,Damond Fudge,7-Nov,Positive
Predator: Badlands,DJ BenHaMeen,7-Nov,Positive
Predator: Badlands,Michael Cook,7-Nov,Positive
Predator: Badlands,Matt Singer,7-Nov,Positive
Predator: Badlands,Jonathan W. Hickman,7-Nov,Positive
Predator: Badlands,Odie Henderson,7-Nov,Positive
Predator: Badlands,BJ Colangelo,7-Nov,Positive
Predator: Badlands,Andrew Parker,7-Nov,Negative
Predator: Badlands,Brandon Avery,7-Nov,Positive
Predator: Badlands,Lee McCoy,7-Nov,Positive
Predator: Badlands,Joseph Robinson,7-Nov,Positive
Predator: Badlands,Bob Chipman,7-Nov,Positive
Predator: Badlands,Matt Lynch,7-Nov,Positive
Predator: Badlands,Steven Prokopy,7-Nov,Positive
Predator: Badlands,Guillermo Troncoso,7-Nov,Positive
Predator: Badlands,Troy Ribeiro,7-Nov,Positive
Predator: Badlands,Sreeju Sudhakaran,6-Nov,Negative
Predator: Badlands,Marcelo Stiletano,6-Nov,Positive
Predator: Badlands,Gregory Nussen,6-Nov,Positive
Predator: Badlands,Russ Simmons,6-Nov,Positive
Predator: Badlands,Eric Marchen,6-Nov,Positive
Predator: Badlands,Zach Pope,6-Nov,Positive
Predator: Badlands,Britany Murphy,6-Nov,Positive
Predator: Badlands,George M. Thomas,6-Nov,Positive
Predator: Badlands,Kyle Smith,6-Nov,Positive
Predator: Badlands,Bob Strauss,6-Nov,Positive
Predator: Badlands,Adam Nayman,6-Nov,Positive
Predator: Badlands,Austin Burke,6-Nov,Positive
Predator: Badlands,Manuel São Bento,6-Nov,Positive
Predator: Badlands,Sabrina Ramirez,6-Nov,Positive
Predator: Badlands,Andrew Mack,6-Nov,Positive
Predator: Badlands,Travis Hopson,6-Nov,Positive
Predator: Badlands,Tom Santilli,6-Nov,Negative
Predator: Badlands,Christopher Llewellyn Reed,6-Nov,Positive
Predator: Badlands,Leigh Paatsch,6-Nov,Positive
Predator: Badlands,Lalo Ortega,6-Nov,Positive
Predator: Badlands,Alan Ng,6-Nov,Negative
